Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Gokaiger Goseiger Super Sentai 199 Hero Great Battle,2011,N/A,11 Jun 2011,84 min,"Action, Sci-Fi",Noboru Takemoto,Naruhisa Arakawa,"Ryôta Ozawa, Yûki Yamada, Mao Ichimichi, Kazuki Shimizu","In Gokaiger Goseiger Super Sentai: 199 Hero Great Battle, the 34th and 35th Super Sentai team must join forces to defeat the joint efforts of the Space Empire Zangyack and Black Cross King, who wants to invade Earth.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BNGMzY2IyY2EtZmJkOS00NDdjLTkyMzQtNWIyYmRlYzZlZmY2XkEyXkFqcGdeQXVyNDA5ODU0NDg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,93,tt1869453,movie,N/A,N/A,N/A,N/A,True
Super Undead Doctor Roach,2009,N/A,01 Apr 2009,12 min,"Short, Comedy, Fantasy, Horror, Sci-Fi",Chad Clinton Freeman,Chad Clinton Freeman (screenplay),"Derek Houck, Juliane Price, Henry Clarke, Reagan Pfifer","A scientist obsessed with bugs becomes an accidental superhero in this magical action comedy. In the world of a tennis-racket wielding secretary, as well as a crew made up of an evil ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTM0NDM1MzYwMV5BMl5BanBnXkFtZTcwNDAxNDE4Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,20,tt1500952,movie,N/A,N/A,N/A,N/A,True
Sam the Super Sticky,2009,N/A,01 Jun 2009,5 min,"Animation, Short, Adventure",George Thorman,N/A,"Joey Napoli, George Thorman","'Sam the Super Sticky' is an animated short depicting the epic mini-adventure of the world's first sticky-note hero, Sam. When Sam's leisurely stroll is interrupted by the hungry ...",N/A,"Canada, USA",N/A,N/A,[],N/A,N/A,N/A,tt1652411,movie,N/A,N/A,N/A,N/A,True
Super Geek Math Boy!,2010,N/A,13 Nov 2010,14 min,"Short, Comedy, Drama",Bunthivy Nou,Randy Pelletier,"Kelsey Armour, Andrew Gaunce, Rob Gemmell, Johanne Goodall",A socially awkward teen math genius rejected by his peers embraces his gift of math and become a superhero.,English,Canada,3 wins.,N/A,[],N/A,N/A,N/A,tt1683501,movie,N/A,N/A,N/A,N/A,True
Super Inday and the Golden Bibe,1988,N/A,23 Jun 1988,N/A,"Action, Comedy, Fantasy",Luciano B. Carlos,"Jose Javier Reyes (story), Luciano B. Carlos (story), Jose Javier Reyes (screenplay)","Maricel Soriano, Aiza Seguerra, Eric Quizon, Manilyn Reynes",N/A,"Filipino, Tagalog, English",Philippines,1 win.,https://m.media-amazon.com/images/M/MV5BYmVkMmMzOTEtYjU4Zi00MDYzLTk1ZjgtN2Q0NGFjODBhMjc4XkEyXkFqcGdeQXVyNDUxNjc5NjY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,18,tt0479546,movie,N/A,N/A,N/A,N/A,True
Super Wolf,1949,Approved,13 Oct 1949,16 min,"Short, Comedy",Del Lord,Elwood Ullman (screenplay),"Hugh Herbert, Christine McIntyre, Emmett Vogan, Dudley Dickerson","Hugh Herbert, a very timid man, is the writer of a newspaper's ""Advice to the Lovelorn"" column using the pseudonym of ""Aunt Fanny."" Things start to pop when ""woo-woo"" Hugh is mistaken for ...",English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,6,tt0145504,movie,N/A,N/A,N/A,N/A,True
Super Homem,2006,M/12,N/A,7 min,N/A,Carlos Conceição,Carlos Conceição,"Bernardo Almeida, João Abel Baptista, Bruno Bento, Filipa Cruz",N/A,N/A,N/A,N/A,N/A,[],N/A,N/A,N/A,tt1739230,movie,N/A,N/A,N/A,N/A,True
Super Speed,1925,PASSED,02 Apr 1925,N/A,"Action, Adventure, Crime",Albert S. Rogell,"John Grey (story), John Grey (scenario)","Reed Howes, Mildred Harris, Charles Clary, Sheldon Lewis","Pat O'Farrell, a rich young man, takes a job as a truck-driver for his uncle's milk company, and falls in love with Cliare Knight, daughter of the Knight Car Company. Pat is financing ""Dad""...",N/A,USA,N/A,https://m.media-amazon.com/images/M/MV5BYTk5MmVmMDItNjY4MS00ZGNiLWE4OGYtZGE3ZDljZDBhOTM0XkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,6,tt0167426,movie,N/A,N/A,N/A,N/A,True
Super Powers: Battle at the Earth's Core!,1986,N/A,01 Apr 1986,30 min,"Animation, Short",N/A,Andy Helfer,N/A,N/A,English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,6,tt1808509,movie,N/A,N/A,N/A,N/A,True
Super Botox Me,2008,N/A,24 Aug 2008,60 min,Documentary,Anna Davies,N/A,"Anthony Gordon, Kate Spicer",Journalist Kate Spicer undergoes a series of Botox and beauty related treatments to make herself look more like a touched-up photograph of herself. But is there a price to pay for beauty?,English,UK,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",N/A,5.4,7,tt1285141,movie,N/A,N/A,N/A,N/A,True
Fill 'er Up with Super,1976,N/A,07 Apr 1976,97 min,"Comedy, Drama",Alain Cavalier,"Patrick Bouchitey, Alain Cavalier, Etienne Chicot, Bernard Crombey, Xavier Saint-Macary","Patrick Bouchitey, Etienne Chicot, Bernard Crombey, Xavier Saint-Macary",Klouk drives a station wagon with his friends.,French,France,N/A,https://m.media-amazon.com/images/M/MV5BNWZjZmVmYzYtY2ZiNS00OGNiLTk1ZTQtYjdkOWRjNjRjODNkXkEyXkFqcGdeQXVyMjQzMzQzODY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,150,tt0075076,movie,N/A,N/A,N/A,N/A,True
Super Seniors,2008,N/A,09 Apr 2008,9 min,"Short, Comedy",Kyle Newacheck,"Blake Anderson, Adam DeVine, Anders Holm (creator), Anders Holm, Kyle Newacheck, Caroline Rich","Adam DeVine, Blake Anderson, Anders Holm, Caroline Rich",N/A,English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",N/A,8.5,6,tt2369554,movie,N/A,N/A,N/A,N/A,True
Super Citizen Ko,1995,N/A,23 Nov 1996,121 min,Drama,Jen Wan,"Ching-Sung Liao, Jen Wan, Nien-Jen Wu","Chiu-Yen Chen, I-Chen Ko, Yang Lin, Ming-Ming Su","At an old age, a former political prisoner is determined to find out where his fellow sufferers have laid since their secret execution, while Taiwan embarks on a tumultuous path of democratization.",Min Nan,"Taiwan, China",3 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BYWViNTgwNDEtNWFmOC00YTg5LTgxYjctYmUwZDg5NWIzNTNhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTU0NjgwODE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,150,tt0112659,movie,N/A,N/A,N/A,N/A,True
The Revival of Super Hero: Tiger Mask Volume 1,2000,N/A,N/A,142 min,Action,N/A,N/A,"Satoru Sayama, Chris Adams, Tommy Billington, Canek","The Best of Tiger Mask matches dating from April 23, 1981 through February 5, 1982.",Japanese,Japan,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,7,tt0426189,movie,N/A,N/A,N/A,N/A,True
Super Salami,1979,N/A,N/A,66 min,"Comedy, Fantasy",Yilmaz Atadeniz,Hikmet Eldek,"Aydemir Akbas, Dilber Ay, Müge Güler, Muharrem Gürses",N/A,Turkish,Turkey,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,64,tt0392816,movie,N/A,N/A,N/A,N/A,True
WWE Super Show-Down,2020,TV-PG,27 Feb 2020,204 min,"Action, Sport",N/A,N/A,"Windham Rotunda, Bill Goldberg, Brock Lesnar, Trevor Mann",WWE Superstars comes to Saudi Arabia to fight each other to see who is the best.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNjUxZDQzMmYtN2NmOC00YTdlLTllYmEtMDk4MDliMzlkYzRiXkEyXkFqcGdeQXVyMzQwNDk2ODM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.9/10'}]",N/A,3.9,129,tt11749636,movie,N/A,N/A,N/A,N/A,True
Super Bowl XXVII,1993,N/A,31 Jan 1993,N/A,Sport,N/A,N/A,"Troy Aikman, Howard Ballard, Don Beebe, Cornelius Bennett",N/A,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BYzEzMGJlOGQtNTYzMi00Mjg5LTg4NTItMTM3MDk4YTJiYmVhXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,128,tt0478282,movie,N/A,N/A,N/A,N/A,True
DC Super Hero Girls: Super Hero High,2016,TV-PG,19 Mar 2016,44 min,"Animation, Short, Action, Comedy, Fantasy, Sci-Fi",Jennifer Coyle,"Shea Fontana, John Ostrander (character created by: Amanda Waller), John Byrne (character created by: Amanda Waller), Arnold Drake (character created by: Beast Boy), Bob Rozakis (character created by: Bumblebee), Jose Delbo (character created by: Bumblebee), Jack Kirby (characters created by: Fourth World), Gerry Conway (character created by: Frost), Al Milgrom (character created by: Frost), Paul Dini (character created by: Harley Quinn), Bruce Timm (character created by: Harley Quinn), Gardner Fox (character created by: Hawkgirl), Denny O'Neil (character created by: Lady Shiva), Mike W. Barr (character created by: Katana), Jim Aparo (character created by: Katana), Gerry Conway (character created by: Killer Croc), Don Newton (character created by: Killer Croc), Len Wein (character created by: Lucius Fox), John Calnan (character created by: Lucius Fox), Geoff Johns (character created by: Miss Martian), Tony S. Daniel (character created by: Miss Martian), Marv Wolfman (character created by: Starfire), George Pérez (character created by: Starfire), Jerry Siegel (based on the characters created by), Joe Shuster (based on the characters created by), William Moulton Marston (character created by: Wonder Woman), Roy Thomas (character created by: Wildcat), Todd McFarlane (character created by: Wildcat)","Yvette Nicole Brown, Dean Cain, Greg Cipes, John DiMaggio",When Supergirl first joins Superhero High she learns to become better hero and find new friends.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZTM3MjMzNTgtM2RmZC00Mzk3LWI1ZGItM2FlYzlmZTA1MmYyXkEyXkFqcGdeQXVyNDIxMDQ2ODM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,144,tt5779638,movie,N/A,N/A,N/A,N/A,True
Super Star Super Silly,2018,N/A,16 Feb 2018,90 min,"Comedy, Romance",Duc Thinh,N/A,"Truong Giang, Nguyen Ha My, Duc Thinh, Thanh Thuy",Story about twins: The Son is a superstar and The Tung is a farmer. They changed position.,Vietnamese,Vietnam,N/A,https://m.media-amazon.com/images/M/MV5BZjQwZmY4NmYtMjY1YS00YTUxLTllNWYtMDdjM2I3MzYxNWVkXkEyXkFqcGdeQXVyNDc0Njc1NTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",N/A,4.8,60,tt8010518,movie,N/A,N/A,N/A,N/A,True
Super Typhoon,2008,N/A,24 Oct 2008,94 min,"Action, Drama",Xiaoning Feng,N/A,"Xiaowei Liu, Xiaoying Song, Gang Wu","When a super typhoon strikes the city of a million people, only the heroic mayor can save the day.",Mandarin,China,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BYTViZjVhZGQtMmQzZS00NGNlLWFmMGItNDE4MWU2Y2NkY2RkXkEyXkFqcGdeQXVyMTk2MDc1MjQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.6/10'}]",N/A,3.6,148,tt1313153,movie,N/A,N/A,N/A,N/A,True
Super Platoon,1987,N/A,N/A,90 min,"Action, War",Godfrey Ho,Godfrey Ho (screenplay),"David Arch, Kevin Brooks, Sorapong Chatree, Joe Fields",N/A,English,Hong Kong,N/A,https://m.media-amazon.com/images/M/MV5BNzc3NjI3MWUtMWI2Mi00OGMyLWEyNmMtMzMzYjc1MGQ2NDU4XkEyXkFqcGdeQXVyNjM2NDIwMzQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.5/10'}]",N/A,3.5,6,tt2496166,movie,N/A,N/A,N/A,N/A,True
Superhuman: Super Strong,2008,N/A,02 Sep 2008,60 min,Documentary,"David Donnelly, Emma Sayce",N/A,Sam Hazeldine,N/A,English,UK,N/A,N/A,[],N/A,N/A,N/A,tt1659218,movie,N/A,N/A,N/A,N/A,True
Doctor Duck's Super Secret All-Purpose Sauce,1986,N/A,N/A,90 min,"Comedy, Musical","Ed Bianchi, William Dear, Graham Henman, Alan Myerson, Michael Nesmith","Jonathan Schmock (segment), James Vallely (segment), Jack Handey, Michael Kaplan, John Levenstein, Bill Martin, Michael Nesmith, William Dear, Garry Shandling, Whoopi Goldberg, Lois Bromfield (material), Bob Rubin (material), Bobcat Goldthwait (material), Whoopi Goldberg (material), Jay Leno (material)","Billy Beck, Ed Begley Jr., Brian Bradley, Bunny Briggs",A montage of sketch comedy and music videos.,English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,63,tt0177715,movie,N/A,N/A,N/A,N/A,True
Ma saison super 8,2005,Unrated,23 Oct 2005,74 min,"Comedy, Drama",Alessandro Avellis,"Alessandro Avellis, Gabriele Ferluga","Axel Philippon, Célia Pilastre, Roman Girelli, Antoine Mory","Paris, 1968. After a failed attempt to gain national acceptance for gay rights, Marc finds himself lost, dealing with the joys and agonies of being gay during a time when homosexuals had no place in society. That is until he meets Andre.",French,France,N/A,https://m.media-amazon.com/images/M/MV5BMTg3Nzc1OTM2Nl5BMl5BanBnXkFtZTgwOTI5NTY0NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",N/A,5.3,104,tt0772906,movie,07 Jul 2009,N/A,N/A,N/A,True
Super Pink,1966,N/A,12 Oct 1966,6 min,"Animation, Short, Comedy",Hawley Pratt,John W. Dunn (story),N/A,"The Pink Panther, reading a super-hero comic, fancies himself becoming a cape-and-tights-garbed crusader and takes the essential garments from a clothesline to become Super-Pink! ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTk3NzI1NDc3OF5BMl5BanBnXkFtZTcwMTMyNzEzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,97,tt0061044,movie,N/A,N/A,N/A,N/A,True
Chopper Dodging Super Spy,2010,N/A,N/A,2 min,"Short, Comedy, Thriller",Mike Thompson,"Joel Schoenbach, Mike Thompson","Joel Schoenbach, Robert Shupe, Diana Care, Mike Thompson",N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt1684626,movie,N/A,N/A,N/A,N/A,True
"Jerry Seinfeld, Larry David & Jason Alexander at Tom's Restaurant: Seinfeld Reunion Super Bowl 2014",2014,N/A,15 Jan 2014,5 min,"Documentary, Comedy",Gian Franco Morini,N/A,"Jason Alexander, Larry David, Jerry Seinfeld","Behind the scenes of the ""Seinfeld"" reunion for the Super Bowl 2014 with Jerry Seinfeld, Larry David and Jason Alexander shooting at Tom's Restaurant.",English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}]",N/A,8.2,6,tt3560556,movie,N/A,N/A,N/A,N/A,True
Attack of the Super Monsters,1982,N/A,N/A,83 min,"Animation, Drama, Sci-Fi","Toru Sotoyama, Tom Wyner","Masaki Tsuji, Ifumi Uchiyama, Tom Wyner, Hiroyasu Yamaura (story ""Aizenborg"")","Tom Wyner, Dan Woren, Robin Levenson, Cam Clarke","In the year 2000 the dinosaurs reappear on planet Earth, terrorizing mankind.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BMTQzNzE5NzA1N15BMl5BanBnXkFtZTcwNDA4OTgxMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}]",N/A,4.7,162,tt0202250,movie,N/A,N/A,Tsuburaya Productions,N/A,True
Super Hero,2009,N/A,N/A,13 min,"Short, Comedy",Derek Hockenbrough,Julian Turner (screenplay),"Reginald Hunter, Jeff Loveness, Rick Strobel, Molly Mae Thompson","A young man (Dudley) leads a boring life as a night security guard for a Mail Services warehouse. However, whenever he doses off (which he often does) he becomes the superhero Captain ...",English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,7,tt1443498,movie,N/A,N/A,N/A,N/A,True
Zoolander: Super Model,2016,N/A,01 Aug 2016,84 min,"Animation, Comedy, Sci-Fi",Aaron Augenblick,"John Aboud, Michael Colton, Drake Sather (based on characters created by), Ben Stiller (based on characters created by)","Ben Stiller, Owen Wilson, Christine Taylor, Jerry Stiller","In this animated series, ridiculously good-looking superheroes Derek Zoolander and Hansel defend celebrities and regular people from the dark forces of the fashion world.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZmVjNGU1YjEtODc0Mi00NDU3LWI4YzktYzBjZjk4Njg1OWU4XkEyXkFqcGdeQXVyNTI3NjY4OQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",N/A,4.7,107,tt5940466,movie,N/A,N/A,N/A,N/A,True
The Super Weapon,1976,PG,01 May 1976,78 min,Documentary,"Henry Scarpelli, Jim Sotos",N/A,"Charles Bonet, Thomas 'LaPuppet' Carroll, Frank Difelice, Bob Long","For the serious Martial Artist, ""The Super Weapon"" is the documentary that boasts no trick photography or special effects. You'll see in great depth the difference between the various kinds...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTQ1NTQzMzM5OV5BMl5BanBnXkFtZTgwNTcyOTk1MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}]",N/A,4.5,18,tt0201210,movie,N/A,N/A,N/A,N/A,True
Super Bowl IV,1970,N/A,11 Jan 1970,N/A,Sport,N/A,N/A,"Grady Alderman, Fred Arbanas, John Beasley, Bobby Bell",N/A,English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,34,tt0475737,movie,N/A,N/A,N/A,N/A,True
Super Death Kill,2011,N/A,04 Jul 2011,N/A,"Horror, Sci-Fi",Dm Pelley,"Justin Kirkwood (additional material), Dm Pelley","Lloyd Kaufman, Charlie Carter, J. Michael Dones, Myrtle Gadberry-Pelley","In the post-apocalyptic world of the near future, a man from the Southern Wastelands responds to an ad for a day labor job-and finds himself trapped in a tournament with the only choices being fight or die.",English,USA,N/A,N/A,[],N/A,N/A,N/A,tt1748214,movie,N/A,N/A,N/A,N/A,True
Super Atragon,1995,N/A,18 Dec 1995,N/A,"Animation, Sci-Fi, War",Kazuyoshi Katayama,"Nobuaki Kishima, Shunrô Oshikawa (novel)","Aaron Krohn, Amanda Winn Lee, Tiffany Grant, Rob Mungle","In 1932, the Japanese Army investigates a mysterious meteorite crash in Manchuria, and discovers a strange material that produces a previously unknown kind of energy. The mineral is later ...",English,Japan,N/A,https://m.media-amazon.com/images/M/MV5BMTk4MDI5ODgzN15BMl5BanBnXkFtZTcwOTE1NDgxMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,42,tt0114425,movie,16 Jul 1998,N/A,N/A,N/A,True
Çilgin kiz ve üç süper adam,1973,N/A,N/A,65 min,"Action, Sci-Fi",Cavit Yürüklü,Volkan Kayhan,"Levent Çakir, Altan Bozkurt, Yesim Yükselen, Nubar Terziyan",N/A,Turkish,Turkey,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,26,tt0310293,movie,N/A,N/A,N/A,N/A,True
Super Bowl LII Halftime Show Starring Justin Timberlake,2018,N/A,04 Feb 2018,N/A,N/A,Hamish Hamilton,N/A,"Tony Bellissimo, Justin Timberlake","Former *NSYNC member, Justin Timberlake headlines the Super Bowl LII Halftime Show at U.S. Bank Stadium in Minneapolis, Minnesota with a medley of his songs and a tribute to Minneapolis native Prince.",N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BY2RkZTllZmEtNWZmZC00NmZkLThhNzctNjlmYTk0NWY2ZTkwXkEyXkFqcGdeQXVyNjIzMjE5MDU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,26,tt8692230,movie,N/A,N/A,N/A,N/A,True
Glory 57 Super fight series,2018,N/A,25 Aug 2018,N/A,Sport,N/A,N/A,"Zaza Sor. Aree, Li Deng, Masaya Kubo, Chenchen Li",N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt8924676,movie,N/A,N/A,N/A,N/A,True
Super Bowl XXI,1987,N/A,25 Jan 1987,N/A,Sport,N/A,N/A,"Pat Summerall, John Madden, Irv Cross, Will McDonough",N/A,English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,36,tt0477109,movie,N/A,N/A,N/A,N/A,True
Super 8 Daze,2018,TV-PG,15 Sep 2018,14 min,"Documentary, Short","Rob Hampton, John Morgan",N/A,"Rob Hampton, John Morgan",A documentary short recounting the filmmaking adventures of two '70s kids with a Super 8 movie camera.,English,USA,5 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BNmZjMDhkYWItMDk5OS00YzRmLTkxNjUtYTM3ZmZlNGI2MDViXkEyXkFqcGdeQXVyMTI4NTA5NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.4/10'}]",N/A,9.4,5,tt7281142,movie,N/A,N/A,N/A,N/A,True
Super Bowl XLIV Halftime Show,2010,N/A,07 Feb 2010,N/A,Sport,Hamish Hamilton,N/A,"Roger Daltrey, Pete Townshend",N/A,English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,26,tt1625336,movie,N/A,N/A,N/A,N/A,True
Super-Materialism,1995,N/A,N/A,22 min,"Comedy, Short",Søren Fauli,"Søren Fauli, Lars Kjeldgård","Søren Fauli, Mikael Bertelsen, John Holmberg, Flemming Rosenvinge",Director Søren Fauli willingly exhibits and investigates his own weaknesses. With a healthy and curious self-centredness he recognizes that he's an uninhibited supermaterialist. He can't ...,Danish,Denmark,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,25,tt0218646,movie,N/A,N/A,N/A,N/A,True
La super risa en vacaciones 8,1996,N/A,11 Nov 1996,90 min,Comedy,René Cardona Jr.,René Cardona Jr.,"Alfredo Alegría, Graciela Camou, Julima Cardona, Maribel Fernández",N/A,Spanish,Mexico,N/A,https://m.media-amazon.com/images/M/MV5BNWM4ZGFlZWYtMzA0Mi00NGU2LWI3YzktNWMyZjU0YjgxZWJlXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.9/10'}]",N/A,3.9,26,tt0470546,movie,N/A,N/A,N/A,N/A,True
Super-Dad,2015,N/A,26 May 2015,86 min,Comedy,Jan Markus Linhof,Mirko Schulze,"Stephan Luca, Stefanie Stappenbeck, Tilman Pörzgen, Gizem Emre","A sperm donor is confronted by his 99 children, when a disclosure is sued.",German,"Germany, South Africa",N/A,https://m.media-amazon.com/images/M/MV5BY2I2MGU4MzUtZjRiNC00NWU0LThhM2ItYTQwMzVjZmQ4NmJlXkEyXkFqcGdeQXVyMzYwMTkzNTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,27,tt4659142,movie,N/A,N/A,N/A,N/A,True
Super Monsters: Santa's Super Monster Helpers,2020,N/A,08 Dec 2020,24 min,"Family, Animation",N/A,N/A,"Elyse Maloway, Asia Mattu, Gigi Saul Guerrero","When Santa needs serious help prepping all of his presents, the Super Monsters lend a hand - and some monster magic - to get every gift out on time.",English,"Canada, USA",N/A,https://m.media-amazon.com/images/M/MV5BMjQ3ZDdjMzYtZDE2ZC00YjA0LTgyM2QtNTE4NjU2YTUyMGEzXkEyXkFqcGdeQXVyNDk5MjY5NTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}]",N/A,4.5,25,tt13439998,movie,N/A,N/A,N/A,N/A,True
Sergeant Keroro Super Movie 2: The Deep Sea Princess de arimasu!,2007,N/A,17 Mar 2007,77 min,"Animation, Comedy, Family, Sci-Fi","Susumu Yamaguchi, Jun'ichi Satô",N/A,"Takehito Koyasu, Etsuko Kozakura, Takeshi Kusao, Jôji Nakata","During a vacation Natsumi is visited by a female alien and a male alien, she later gains feelings for. They then get encounter by a summoned mysterious creature.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BYmZkNWQwNmEtN2M2ZS00YjE2LTliYzMtZWRiZDgzZDVmYmVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMzQ2MTY3MDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,42,tt1207645,movie,N/A,N/A,N/A,N/A,True
Super Hero Party Clown,2010,Not Rated,25 Sep 2012,84 min,Comedy,Jeremy M. Inman,Jeremy M. Inman,"Randy J. Blair, Zach Sutherland, Shelby Barnes, Adam Sessa","Eugene Stimpson is a superhero... At least he plays one at birthday parties. When his high school nemesis Todd gets a job playing a rival superhero, Eugene must struggle to keep his ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTcxMTk1MTYzNl5BMl5BanBnXkFtZTcwNjAxNjU4NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,36,tt1663675,movie,N/A,N/A,N/A,N/A,True
Super Bowl XXXIII,1999,N/A,31 Jan 1999,N/A,Sport,N/A,N/A,"Morten Andersen, Jamal Anderson, Lester Archambeau, Steve Atwater",N/A,N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BMTQzNzk2OTIxNV5BMl5BanBnXkFtZTcwMzIwODIzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,44,tt0478287,movie,N/A,N/A,N/A,N/A,True
Super Junior: U,2006,N/A,13 Jun 2006,4 min,"Short, Music",N/A,N/A,"Si Won Choi, Geng Han, Super Junior, Hee-chul Kim",N/A,"Korean, English",South Korea,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,5,tt6020230,movie,N/A,N/A,N/A,N/A,True
Super Bowl XXXIX Halftime Show,2005,N/A,06 Feb 2005,N/A,N/A,Don Mischer,N/A,Paul McCartney,N/A,English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,26,tt0458497,movie,N/A,N/A,N/A,N/A,True
Super Bowl XXVI,1992,N/A,26 Jan 1992,N/A,Sport,N/A,N/A,"Carlton Bailey, Howard Ballard, Don Beebe, Cornelius Bennett",N/A,N/A,N/A,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,41,tt0478281,movie,N/A,N/A,N/A,N/A,True
